tick,sim_time,cells_burning,cells_ember,cells_burned,cells_wet,total_fire_cells,drones_emitting,drones_returning,drones_transit,drones_idle,drones_hovering,drones_charging,mean_battery,min_battery,mean_stability
1,0.1,3,0,0,198,3,0,0,3,22,0,0,1.0,1.0,0.8053
2,0.2,3,0,0,199,3,0,0,3,22,0,0,1.0,1.0,0.8142
3,0.3,3,0,0,202,3,0,0,3,22,0,0,1.0,1.0,0.8122
4,0.4,3,0,0,203,3,0,0,3,22,0,0,1.0,1.0,0.8094
5,0.5,3,0,0,203,3,0,0,3,22,0,0,1.0,0.9999,0.8019
6,0.6,3,0,0,203,3,0,0,3,22,0,0,1.0,0.9999,0.8099
7,0.7,3,0,0,204,3,0,0,3,22,0,0,0.9999,0.9999,0.8144
8,0.8,3,0,0,206,3,0,0,3,22,0,0,0.9999,0.9999,0.8142
9,0.9,3,0,0,206,3,0,0,3,22,0,0,0.9999,0.9999,0.8121
10,1.0,3,0,0,208,3,0,0,3,22,0,0,0.9999,0.9999,0.806
11,1.1,3,0,0,209,3,0,0,3,22,0,0,0.9999,0.9999,0.796
12,1.2,3,0,0,209,3,0,0,3,22,0,0,0.9999,0.9999,0.7858
13,1.3,3,0,0,212,3,0,0,3,22,0,0,0.9999,0.9999,0.7905
14,1.4,3,0,0,214,3,0,0,3,22,0,0,0.9999,0.9998,0.8018
15,1.5,3,0,0,214,3,0,0,3,22,0,0,0.9999,0.9998,0.7809
16,1.6,3,0,0,214,3,0,0,3,22,0,0,0.9999,0.9998,0.7882
17,1.7,3,0,0,215,3,0,0,3,22,0,0,0.9999,0.9998,0.7876
18,1.8,3,0,0,215,3,0,0,3,22,0,0,0.9999,0.9998,0.8015
19,1.9,3,0,0,216,3,0,0,3,22,0,0,0.9999,0.9998,0.7857
20,2.0,3,0,0,217,3,0,0,3,22,0,0,0.9999,0.9998,0.7862
21,2.1,3,0,0,217,3,0,0,6,19,0,0,0.9998,0.9998,0.7586
22,2.2,3,0,0,219,3,0,0,6,19,0,0,0.9998,0.9998,0.7638
23,2.3,3,0,0,221,3,0,0,6,19,0,0,0.9998,0.9998,0.7695
24,2.4,3,0,0,223,3,0,0,6,19,0,0,0.9998,0.9997,0.7709
25,2.5,3,0,0,225,3,0,0,6,19,0,0,0.9998,0.9997,0.7603
26,2.6,3,0,0,227,3,0,0,6,19,0,0,0.9998,0.9997,0.7546
27,2.7,3,0,0,228,3,0,0,6,19,0,0,0.9998,0.9997,0.7603
28,2.8,3,0,0,230,3,0,0,6,19,0,0,0.9998,0.9997,0.7675
29,2.9,3,0,0,230,3,0,0,6,19,0,0,0.9998,0.9997,0.7673
30,3.0,3,0,0,232,3,0,0,6,19,0,0,0.9998,0.9997,0.7638
31,3.1,3,0,0,232,3,0,0,6,19,0,0,0.9998,0.9997,0.7248
32,3.2,3,0,0,234,3,0,0,6,19,0,0,0.9998,0.9997,0.7119
33,3.3,3,0,0,236,3,0,0,6,19,0,0,0.9998,0.9997,0.7291
34,3.4,3,0,0,238,3,0,0,6,19,0,0,0.9997,0.9996,0.723
35,3.5,3,0,0,238,3,0,0,6,19,0,0,0.9997,0.9996,0.7252
36,3.6,3,0,0,240,3,0,0,6,19,0,0,0.9997,0.9996,0.7158
37,3.7,3,0,0,240,3,0,0,6,19,0,0,0.9997,0.9996,0.7237
38,3.8,3,0,0,240,3,0,0,6,19,0,0,0.9997,0.9996,0.7231
39,3.9,3,0,0,240,3,0,0,6,19,0,0,0.9997,0.9996,0.7202
40,4.0,3,0,0,241,3,0,0,6,19,0,0,0.9997,0.9996,0.7216
41,4.1,3,0,0,242,3,0,0,8,17,0,0,0.9997,0.9996,0.6815
42,4.2,3,0,0,244,3,0,0,8,17,0,0,0.9997,0.9996,0.6913
43,4.3,3,0,0,244,3,0,0,8,17,0,0,0.9997,0.9996,0.6935
44,4.4,3,0,0,245,3,0,0,8,17,0,0,0.9997,0.9996,0.6782
45,4.5,3,0,0,245,3,0,0,8,17,0,0,0.9997,0.9995,0.6887
46,4.6,3,0,0,247,3,0,0,8,17,0,0,0.9997,0.9995,0.6812
47,4.7,3,0,0,250,3,0,0,8,17,0,0,0.9997,0.9995,0.687
48,4.8,3,0,0,252,3,0,0,8,17,0,0,0.9996,0.9995,0.6891
49,4.9,3,0,0,256,3,0,0,8,17,0,0,0.9996,0.9995,0.6865
50,5.0,3,0,0,258,3,0,0,8,17,0,0,0.9996,0.9995,0.6914
51,5.1,3,0,0,259,3,0,0,8,17,0,0,0.9996,0.9995,0.7239
52,5.2,3,0,0,266,3,0,0,8,17,0,0,0.9996,0.9995,0.7228
53,5.3,3,0,0,267,3,0,0,8,17,0,0,0.9996,0.9995,0.7135
54,5.4,3,0,0,268,3,0,0,8,17,0,0,0.9996,0.9995,0.7221
55,5.5,3,0,0,268,3,0,0,8,17,0,0,0.9996,0.9995,0.7111
56,5.6,3,0,0,268,3,0,0,8,17,0,0,0.9996,0.9994,0.7191
57,5.7,3,0,0,268,3,0,0,8,17,0,0,0.9996,0.9994,0.7132
58,5.8,3,0,0,268,3,0,0,8,17,0,0,0.9996,0.9994,0.7196
59,5.9,3,0,0,269,3,0,0,8,17,0,0,0.9996,0.9994,0.7111
60,6.0,3,0,0,273,3,0,0,8,17,0,0,0.9996,0.9994,0.7127
61,6.1,3,0,0,274,3,0,0,10,15,0,0,0.9995,0.9994,0.6608
62,6.2,3,0,0,275,3,0,0,10,15,0,0,0.9995,0.9994,0.6385
63,6.3,3,0,0,276,3,0,0,10,15,0,0,0.9995,0.9994,0.6627
64,6.4,3,0,0,276,3,0,0,10,15,0,0,0.9995,0.9994,0.648
65,6.5,3,0,0,277,3,0,0,10,15,0,0,0.9995,0.9994,0.6578
66,6.6,3,0,0,278,3,0,0,10,15,0,0,0.9995,0.9994,0.6463
67,6.7,3,0,0,278,3,0,0,10,15,0,0,0.9995,0.9994,0.6556
68,6.8,3,0,0,278,3,0,0,10,15,0,0,0.9995,0.9993,0.6556
69,6.9,3,0,0,279,3,0,0,10,15,0,0,0.9995,0.9993,0.6545
70,7.0,3,0,0,280,3,0,0,10,15,0,0,0.9995,0.9993,0.6485
71,7.1,3,0,0,283,3,0,0,10,15,0,0,0.9995,0.9993,0.7042
72,7.2,3,0,0,284,3,0,0,10,15,0,0,0.9995,0.9993,0.7115
73,7.3,3,0,0,284,3,0,0,10,15,0,0,0.9995,0.9993,0.7081
74,7.4,3,0,0,284,3,0,0,10,15,0,0,0.9994,0.9993,0.7038
75,7.5,3,0,0,284,3,0,0,10,15,0,0,0.9994,0.9993,0.7029
76,7.6,3,0,0,286,3,0,0,10,15,0,0,0.9994,0.9993,0.7055
77,7.7,3,0,0,288,3,0,0,10,15,0,0,0.9994,0.9993,0.7119
78,7.8,3,0,0,289,3,0,0,10,15,0,0,0.9994,0.9993,0.7127
79,7.9,3,0,0,289,3,0,0,10,15,0,0,0.9994,0.9992,0.7092
80,8.0,3,0,0,291,3,0,0,10,15,0,0,0.9994,0.9992,0.7127
81,8.1,3,0,0,294,3,0,0,11,14,0,0,0.9994,0.9992,0.7566
82,8.2,3,0,0,297,3,0,0,11,14,0,0,0.9994,0.9992,0.7647
83,8.3,3,0,0,300,3,0,0,11,14,0,0,0.9994,0.9992,0.7648
84,8.4,3,0,0,302,3,0,0,11,14,0,0,0.9994,0.9992,0.7523
85,8.5,3,0,0,303,3,0,0,11,14,0,0,0.9994,0.9992,0.7553
86,8.6,3,0,0,304,3,0,0,11,14,0,0,0.9994,0.9992,0.7561
87,8.7,3,0,0,306,3,0,0,11,14,0,0,0.9993,0.9992,0.7628
88,8.8,3,0,0,306,3,0,0,11,14,0,0,0.9993,0.9992,0.754
89,8.9,3,0,0,307,3,0,0,11,14,0,0,0.9993,0.9991,0.759
90,9.0,3,0,0,310,3,0,0,11,14,0,0,0.9993,0.9991,0.7616
91,9.1,3,0,0,311,3,0,0,11,14,0,0,0.9993,0.9991,0.7307
92,9.2,3,0,0,312,3,0,0,11,14,0,0,0.9993,0.9991,0.7395
93,9.3,3,0,0,312,3,0,0,11,14,0,0,0.9993,0.9991,0.737
94,9.4,3,0,0,313,3,0,0,11,14,0,0,0.9993,0.9991,0.7271
95,9.5,3,0,0,313,3,0,0,11,14,0,0,0.9993,0.9991,0.73
96,9.6,3,0,0,313,3,0,0,11,14,0,0,0.9993,0.9991,0.725
97,9.7,3,0,0,314,3,0,0,11,14,0,0,0.9993,0.9991,0.7247
98,9.8,3,0,0,315,3,0,0,11,14,0,0,0.9993,0.9991,0.7434
99,9.9,3,0,0,316,3,0,0,11,14,0,0,0.9993,0.9991,0.7348
100,10.0,3,0,0,319,3,0,0,11,14,0,0,0.9992,0.999,0.7321
101,10.1,3,0,0,320,3,0,0,13,12,0,0,0.9992,0.999,0.6845
102,10.2,3,0,0,320,3,0,0,13,12,0,0,0.9992,0.999,0.6786
